
база катып жатат | перезагрузите компьютер и проверьте интернет
база зависает | проверьте соединение, перезапустите браузер
система не работает | проверьте, не ведутся ли технические работы
ошибка при входе | очистите cookies, попробуйте в режиме инкогнито
не открывается карта | проверьте права доступа, обратитесь к администратору
ЕСИ не работает | обновите страницу браузера и попробуйте заново зайти
программа тормозит | закройте лишние вкладки, перезапустите браузер
ошибка 500 | направьте скриншот и ваш ПИН в техподдержку
не печатает ЛВН | проверьте драйвер принтера, перезапустите программу
не грузятся анализы | подождите 15 минут, данные синхронизируются
Как войти в систему Sanarip Clinic через ЕСИ? | На главной странице Sanarip Clinic нажмите кнопку Войти через ЕСИ, переключитесь на вкладку QR, откройте сканер в мобильном приложении Түндүк и отсканируйте код.
Как пройти авторизацию в Sanarip Clinic по QR-коду? | Выберите вход через ЕСИ, перейдите на вкладку QR, затем откройте сканер QR-кода в приложении Түндүк на смартфоне и наведите камеру на экран компьютера.
Что делать, если у меня нет ОЭП для входа в Sanarip Clinic? | Вы можете оформить облачную электронную подпись ОЭП в мобильном приложении Түндүк в разделе Профиль через пункты Моя электронная подпись и Получить ОЭП.
Как получить облачную электронную подпись ОЭП в приложении Түндүк? | В приложении Түндүк откройте Профиль, выберите Моя электронная подпись, нажмите Получить ОЭП, проверьте данные, согласитесь на создание учётной записи, пройдите биометрию и подтвердите e-mail кодом.
Где в приложении Түндүк находится раздел для оформления ОЭП? | Перейдите во вкладку Профиль в нижнем меню приложения Түндүк и выберите пункт Моя электронная подпись.
Можно ли изменить личные данные при получении ОЭП в Түндүк? | Да, на этапе проверки данных вы можете отредактировать персональный номер, паспортные данные, e-mail или номер телефона, нажав на значок карандаша.
Какие требования предъявляются к фотографии для биометрии при получении ОЭП? | Фотография должна быть цветной и чёткой, без очков и головного убора. Лицо и глаза должны быть полностью видны, а на заднем фоне не должно быть других людей.
Как проходит биометрическая проверка при получении ОЭП в приложении Түндүк? | Приложение откроет камеру и попросит поместить лицо в овальную рамку. Следуйте подсказкам на экране для успешного прохождения проверки.
Как подтвердить электронную почту при получении ОЭП в приложении Түндүк? | На вашу электронную почту придёт шестизначный код подтверждения. Введите его в появившемся поле в приложении Түндүк и нажмите кнопку Ок.
Как проверить, что облачная электронная подпись ОЭП успешно оформлена? | После успешного оформления на экране приложения Түндүк отобразится ваш сертификат с ФИО, ПИН, сроком действия и контактными данными.
Где взять QR-код для входа в Sanarip Clinic? | QR-код отображается на экране компьютера после нажатия кнопки Войти через ЕСИ на главной странице Sanarip Clinic и выбора вкладки QR.
Что нужно сделать перед прохождением биометрии для ОЭП в Түндүк? | Отметьте галочкой Согласен на создание учётной записи в Единой системе идентификации и нажмите кнопку Добавить фотографию.
Какие типы справок 086/у можно оформить в системе Sanarip Clinic? | В системе Sanarip Clinic можно оформить два типа справок 086/у: «Стандартный медосмотр» для обычного профилактического осмотра и «Выезд для совершения Хаджа» для паломников.
Какое техническое обеспечение необходимо для работы в ИС Sanarip Clinic? | Для работы необходимы стабильное интернет-соединение, веб-браузер Google Chrome, Mozilla Firefox или Microsoft Edge, а также учётная запись, выданная администратором.
Как войти в личный кабинет системы Sanarip Clinic? | Откройте браузер, перейдите по адресу mis.med.kg, введите свой логин и пароль, после чего нажмите кнопку «Войти» или клавишу Enter.
Кто может выдавать разрешение врачу на подпись справки 086/у? | Разрешение на подпись справки 086/у выдаётся пользователем с ролью Руководитель ОЗ врачу, имеющему действующую юридически значимую ОЭП организации.
Как руководителю ОЗ выдать врачу разрешение на подпись справки 086/у? | Перейдите в раздел «Приём» → «Специалисты», нажмите «Действия» → «Редактировать» напротив врача, отметьте галочкой «Разрешение на подпись Справки 086» и сохраните.
Можно ли подписывать справку 086/у без активной ОЭП? | Нет, без активной облачной электронной подписи (ОЭП) подписание справки будет недоступно даже при наличии установленного разрешения.
Как начать оформление справки 086/у в рамках обращения пациента? | Врач открывает новое обращение, выбирает тип посещения «Приём по поводу профилактических осмотров», затем нажимает «Справка» → «Справка 086/у».
Какой тип посещения нужно выбрать при создании обращения для справки 086/у? | При создании обращения необходимо выбрать тип посещения «Приём по поводу профилактических осмотров».
Чем отличается оформление справки 086/у для выезда в Хадж от стандартной? | При выборе цели «Выезд для совершения Хаджа» система дополнительно активирует разделы «Прививочный статус» и «Перечень состояний, препятствующих паломничеству».
Какие обязательные разделы должен заполнить врач при первичном осмотре для справки 086/у? | Врач создаёт дневник осмотра, в котором обязательно заполняется раздел «Общий осмотр», а также проверяются результаты инструментальных исследований.
Какие инструментальные исследования обязательны для справки 086/у? | Для справки 086/у обязательны флюорография и УЗИ органов брюшной полости.
Как направить пациента к профильным специалистам в справке 086/у? | В блоке справки нажмите «Записать к врачу», выберите нужного специалиста и укажите вид записи: «Запись по времени» или «Другие виды записи».
Какие действия выполняет профильный специалист при осмотре пациента для справки 086/у? | Профильный специалист принимает пациента со статусом «В ожидании», создаёт дневник по своей специальности и заполняет данные обследуемой системы.
Какие сведения отображаются в блоке «Диспансерный учёт» справки 086/у? | Отображается информация о состоянии пациента на учёте по категориям: наркологический, психиатрический, туберкулёзный, сахарный диабет, гепатит и другим.
Как профильному специалисту внести заключение в справку 086/у? | В разделе «Заключения специалистов» выберите специалиста, укажите код МКБ-10, выберите статус здоровья («Здоров» или «Не здоров») и нажмите «Сохранить».
Обязательно ли указывать диагноз МКБ-10 в заключении специалиста при статусе «Не здоров»? | Да, если выбран статус «Не здоров», заполнение поля «Код МКБ-10» является обязательным, иначе заключение не сохранится.
Откуда система Sanarip Clinic получает сведения о прививочном статусе пациента? | Данные о вакцинации и отказах подтягиваются автоматически из информационной системы «Иммунизация».
Какие прививки обязательны для получения справки 086/у на Хадж? | Обязательны вакцинация против COVID-19 (1 доза в 2025-2026 гг. либо не менее 2 доз в 2021-2024 гг.) и вакцинация против менингококковой инфекции (срок не более 5 лет).
Какой срок давности допустим для прививки от менингококковой инфекции при выезде на Хадж? | Вакцина против менингита или менингококковой инфекции должна быть получена не более 5 лет назад.
Как заполняется раздел «Перечень состояний, препятствующих паломничеству»? | Врач указывает результат «Да» или «Нет» по каждому из 11 утверждённых медицинских состояний, после чего сохраняются ФИО врача и дата.
Какие медицинские состояния препятствуют выезду в Хадж? | К ним относятся почечная и сердечная недостаточность, тяжёлые лёгочные, печёночные, нервные и психические заболевания, старческое слабоумие, беременность последних 3 месяцев или с рисками, активные инфекции и рак на химиотерапии.
Можно ли вручную отредактировать пункт прививочного статуса в перечне состояний для Хаджа? | Нет, пункт прививочного статуса формируется автоматически на основе данных ИС «Иммунизация» и недоступен для ручного редактирования.
Как запустить автоматическую проверку данных перед вынесением заключения по справке 086/у? | В разделе «Проверка данных перед заключением» необходимо нажать кнопку «Проверить».
В каких случаях справке 086/у для Хаджа автоматически присваивается статус «Не годен»? | Статус «Не годен» присваивается при отсутствии хотя бы одной обязательной прививки или при наличии ответа «Да» хотя бы по одному пункту противопоказаний.
При каких условиях справка 086/у для Хаджа получает статус «Годен»? | Статус «Годен» присваивается при наличии всех обязательных прививок и ответах «Нет» по всем пунктам состояний, препятствующих паломничеству.
Когда становится доступной кнопка «Подписать» в справке 086/у? | Кнопка «Подписать» активируется только после успешного формирования итогового заключения («Годен» или «Не годен») и выполнения всех условий проверки.
Какие разделы отсутствуют в стандартной справке 086/у по сравнению со справкой для Хаджа? | В стандартной справке отсутствуют раздел «Прививочный статус» и раздел «Перечень состояний здоровья, препятствующих совершению паломничества».
