# Формат: проблема | решение (по одной записи на строку)

база катып жатат | перезагрузите компьютер и проверьте интернет
база зависает | проверьте соединение, перезапустите браузер
система не работает | проверьте, не ведутся ли технические работы
ошибка при входе | очистите cookies, попробуйте в режиме инкогнито
не открывается карта | проверьте права доступа, обратитесь к администратору
ЕСИ не работает | обновите страницу браузера и попробуйте заново зайти
программа тормозит | закройте лишние вкладки, перезапустите браузер
ошибка 500 | направьте скриншот и ваш ПИН в техподдержку
не печатает ЛВН | проверьте драйвер принтера, перезапустите программу
не грузятся анализы | подождите 15 минут, данные синхронизируются
